               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.027137,             0.03583,           0.0019639,             0.79334,             0.79269,             0.81108,             0.49427,            0.036456,            0.047304,           0.0054595,             0.00274,             0.00274,             0.00274
                  68,            0.026687,            0.037292,           0.0018769,             0.82139,             0.76171,             0.80327,             0.49836,            0.036189,            0.047867,           0.0051566,             0.00263,             0.00263,             0.00263
                  69,            0.026877,            0.036555,           0.0016267,              0.7974,             0.76655,             0.79949,             0.49697,            0.036397,            0.049229,           0.0052182,             0.00252,             0.00252,             0.00252
                  70,            0.026815,            0.037112,           0.0014985,             0.83195,             0.74667,             0.79285,             0.50042,            0.036231,            0.048622,           0.0052916,             0.00241,             0.00241,             0.00241
                  71,            0.026283,             0.03567,           0.0015735,             0.82397,             0.74071,             0.79709,             0.49793,            0.036542,            0.048561,           0.0052268,              0.0023,              0.0023,              0.0023
                  72,            0.026201,            0.033834,           0.0014311,              0.8316,             0.74999,             0.80148,             0.48939,            0.037003,            0.049101,           0.0053154,             0.00219,             0.00219,             0.00219
                  73,            0.025384,            0.033819,           0.0015325,             0.82171,             0.76794,             0.80279,             0.49567,            0.036586,            0.048637,            0.005296,             0.00208,             0.00208,             0.00208
                  74,            0.026133,            0.035469,           0.0016408,             0.84142,             0.75063,             0.80066,             0.48929,             0.03697,            0.049194,           0.0052927,             0.00197,             0.00197,             0.00197
                  75,            0.025065,            0.034919,           0.0014371,             0.83446,             0.75438,              0.8001,             0.49847,            0.036267,            0.048565,           0.0054611,             0.00186,             0.00186,             0.00186
                  76,             0.02474,            0.035522,           0.0014042,             0.82671,             0.75872,             0.79126,             0.48916,            0.036512,            0.049109,           0.0056776,             0.00175,             0.00175,             0.00175
                  77,            0.025061,             0.03426,            0.001594,              0.8242,             0.76202,             0.78826,             0.48764,            0.036645,            0.049913,           0.0054834,             0.00164,             0.00164,             0.00164
                  78,            0.024926,            0.033894,           0.0013273,             0.84917,             0.72969,             0.78136,             0.48894,             0.03632,            0.050066,           0.0053624,             0.00153,             0.00153,             0.00153
                  79,            0.024519,            0.035211,           0.0014102,             0.84519,             0.72938,             0.79039,             0.49042,            0.036352,            0.049627,           0.0053466,             0.00142,             0.00142,             0.00142
                  80,            0.024917,            0.035067,           0.0012983,             0.83047,             0.74874,             0.79368,             0.49445,            0.036043,            0.049358,           0.0053251,             0.00131,             0.00131,             0.00131
                  81,            0.024294,             0.03636,           0.0013966,             0.80438,             0.77638,             0.79181,             0.49287,             0.03634,            0.049604,           0.0053784,              0.0012,              0.0012,              0.0012
                  82,            0.024024,             0.03372,           0.0013172,             0.82614,             0.74308,             0.79851,             0.50073,            0.035992,             0.04978,           0.0054614,             0.00109,             0.00109,             0.00109
                  83,            0.023946,            0.032868,            0.001244,             0.83187,             0.74173,             0.79049,             0.49379,            0.036156,            0.050112,           0.0055101,             0.00098,             0.00098,             0.00098
                  84,            0.023841,            0.031592,            0.001438,             0.81995,             0.75249,             0.79053,             0.49864,              0.0362,            0.049795,            0.005407,             0.00087,             0.00087,             0.00087
                  85,            0.023574,            0.032166,           0.0014509,             0.84159,             0.73577,             0.79393,              0.4975,            0.035923,            0.049675,            0.005311,             0.00076,             0.00076,             0.00076
                  86,            0.023687,            0.032673,            0.001291,              0.8434,             0.74348,             0.79437,             0.49492,            0.036044,            0.049883,           0.0054022,             0.00065,             0.00065,             0.00065
                  87,            0.023064,            0.031911,           0.0010172,             0.83031,              0.7446,             0.79231,             0.49452,            0.036088,            0.050207,           0.0053281,             0.00054,             0.00054,             0.00054
                  88,            0.023736,            0.034104,           0.0010832,             0.82868,             0.75987,             0.80467,              0.4993,            0.036042,            0.050028,           0.0052963,             0.00043,             0.00043,             0.00043
                  89,            0.023064,            0.032314,           0.0012402,             0.82757,             0.75666,             0.79743,             0.50214,            0.035935,            0.050249,           0.0053292,             0.00032,             0.00032,             0.00032
